Año,Trimestre,Banda ancha fija,Dial up,Total,Id_Provincia,Año-Trimestre
2018,1,62610,658,63268,18,20181
2018,1,21096,300,21396,19,20181
2018,1,33970,435,34405,20,20181
2018,1,679717,309,680026,21,20181
2018,1,82916,2,82918,22,20181
2018,1,31106,508,31614,23,20181
2018,1,168026,31,168057,24,20181
2017,4,3171206,10690,3181896,2,20174
2017,4,1575418,6906,1582324,1,20174
2017,4,29548,10,29558,3,20174
2017,4,96603,12,96615,4,20174
2017,4,91012,2428,93440,5,20174
2017,4,709874,105,709979,6,20174
2017,4,93760,11,93771,7,20174
2017,4,193654,49,193703,8,20174
2017,4,32056,0,32056,9,20174
2017,4,43551,1,43552,10,20174
2017,4,81675,396,82071,11,20174
2017,4,52177,17,52194,12,20174
2017,4,178661,1490,180151,13,20174
2017,4,103895,0,103895,14,20174
2017,4,114965,2006,116971,15,20174
2017,4,108702,1062,109764,16,20174
2017,4,132811,1,132812,17,20174
2017,4,57965,659,58624,18,20174
2017,4,14604,300,14904,19,20174
2017,4,29018,434,29452,20,20174
2017,4,672137,323,672460,21,20174
2017,4,68842,2,68844,22,20174
2017,4,28346,508,28854,23,20174
2017,4,162298,34,162332,24,20174
2017,3,3046758,11202,3057960,2,20173
2017,3,1563289,7070,1570359,1,20173
2017,3,33467,11,33478,3,20173
2017,3,93747,12,93759,4,20173
2017,3,81067,2477,83544,5,20173
2017,3,696536,108,696644,6,20173
2017,3,92536,12,92548,7,20173
2017,3,185414,50,185464,8,20173
2017,3,32105,0,32105,9,20173
2017,3,43241,1,43242,10,20173
2017,3,79280,410,79690,11,20173
2017,3,51896,17,51913,12,20173
2017,3,190958,1533,192491,13,20173
2017,3,100476,0,100476,14,20173
2017,3,113755,2029,115784,15,20173
2017,3,106393,1103,107496,16,20173
2017,3,132517,1,132518,17,20173
2017,3,61789,660,62449,18,20173
2017,3,21408,311,21719,19,20173
2017,3,33222,468,33690,20,20173
2017,3,662086,256,662342,21,20173
2017,3,82792,2,82794,22,20173
2017,3,30883,583,31466,23,20173
2017,3,160979,33,161012,24,20173
2017,2,3067430,11201,3078631,2,20172
2017,2,1592175,8016,1600191,1,20172
2017,2,26692,13,26705,3,20172
2017,2,90597,14,90611,4,20172
2017,2,62245,1730,63975,5,20172
2017,2,657505,133,657638,6,20172
2017,2,90085,12,90097,7,20172
2017,2,182675,57,182732,8,20172
2017,2,29956,0,29956,9,20172
2017,2,42656,1,42657,10,20172
2017,2,72573,449,73022,11,20172
2017,2,16271,18,16289,12,20172
2017,2,169302,1451,170753,13,20172
2017,2,99794,0,99794,14,20172
2017,2,115321,2112,117433,15,20172
2017,2,100621,998,101619,16,20172
2017,2,108540,1,108541,17,20172
2017,2,51261,620,51881,18,20172
2017,2,12992,315,13307,19,20172
2017,2,26019,369,26388,20,20172
2017,2,566918,362,567280,21,20172
2017,2,33194,2,33196,22,20172
2017,2,31938,619,32557,23,20172
2017,2,154374,37,154411,24,20172
2017,1,3178174,11202,3189376,2,20171
2017,1,1391030,8016,1399046,1,20171
2017,1,26304,13,26317,3,20171
2017,1,89036,14,89050,4,20171
2017,1,62166,1730,63896,5,20171
2017,1,641066,133,641199,6,20171
2017,1,88596,12,88608,7,20171
2017,1,180296,57,180353,8,20171
2017,1,29705,0,29705,9,20171
2017,1,43202,1,43203,10,20171
2017,1,71458,455,71913,11,20171
2017,1,16207,18,16225,12,20171
2017,1,169282,1451,170733,13,20171
2017,1,97619,0,97619,14,20171
2017,1,113227,2112,115339,15,20171
2017,1,100288,1000,101288,16,20171
2017,1,107632,1,107633,17,20171
2017,1,51253,620,51873,18,20171
2017,1,12992,315,13307,19,20171
2017,1,26116,370,26486,20,20171
2017,1,562520,362,562882,21,20171
2017,1,34473,2,34475,22,20171
2017,1,31938,619,32557,23,20171
2017,1,152734,37,152771,24,20171
2016,4,3131499,11202,3142701,2,20164
2016,4,1393443,8016,1401459,1,20164
2016,4,27021,13,27034,3,20164
2016,4,88833,14,88847,4,20164
2016,4,62035,1730,63765,5,20164
2016,4,636422,133,636555,6,20164
2016,4,88084,12,88096,7,20164
2016,4,180188,57,180245,8,20164
2016,4,29513,0,29513,9,20164
2016,4,42624,1,42625,10,20164
2016,4,71368,460,71828,11,20164
2016,4,16298,18,16316,12,20164
2016,4,169274,1451,170725,13,20164
2016,4,97390,0,97390,14,20164
2016,4,111723,2112,113835,15,20164
2016,4,100020,1000,101020,16,20164
2016,4,106934,1,106935,17,20164
2016,4,51301,620,51921,18,20164
2016,4,12992,315,13307,19,20164
2016,4,26094,370,26464,20,20164
2016,4,561470,362,561832,21,20164
2016,4,35049,2,35051,22,20164
2016,4,31938,619,32557,23,20164
2016,4,151615,37,151652,24,20164
2016,3,3075387,11205,3086592,2,20163
2016,3,1395053,8051,1403104,1,20163
2016,3,26957,13,26970,3,20163
2016,3,89216,14,89230,4,20163
2016,3,62222,1730,63952,5,20163
